sysid,sysname,year,assigned_month,yr_mo_d,sum_min,num_trip,sysname_alt
1,"Blue Bikes (Boston, MA)","2,019",1,1/2/2019 0:00,"32,186.70","2,623","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/3/2019 0:00,"36,631.67","2,993","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/4/2019 0:00,"43,345.42","3,379","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/5/2019 0:00,"9,176.97",782,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/6/2019 0:00,"21,476.20","1,620","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/7/2019 0:00,"32,296.65","2,858","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/8/2019 0:00,"34,698.22","2,970","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/9/2019 0:00,"40,676.30","3,375","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/10/2019 0:00,"39,484.17","3,320","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/11/2019 0:00,"30,072.28","2,636","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/12/2019 0:00,"13,958.52","1,227","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/13/2019 0:00,"13,246.35","1,157","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/14/2019 0:00,"33,418.28","3,000","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/15/2019 0:00,"38,169.60","3,291","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/16/2019 0:00,"40,472.07","3,552","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/17/2019 0:00,"34,998.72","3,136","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/18/2019 0:00,"40,791.12","3,271","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/19/2019 0:00,"17,688.22","1,380","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/20/2019 0:00,0,0,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/21/2019 0:00,"2,555.85",151,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/22/2019 0:00,"13,922.77",932,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/23/2019 0:00,"23,467.87","1,798","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/24/2019 0:00,"17,562.42","1,486","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/25/2019 0:00,"36,071.97","3,012","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/26/2019 0:00,"23,610.07","1,718","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/27/2019 0:00,"29,649.57","1,908","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/28/2019 0:00,"37,523.90","3,256","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",1,1/29/2019 0:00,"36,906.63","3,236","Boston Metro, MA (Blue Bikes)"
